Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
Hands of Stone , movie , Panama  USA , Jonathan Jakubowicz , English  Spanish , The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives. , 54 , Biography  Drama  Sport , 6.6 , 26 Aug 2016 , R , N/A , Edgar Ram�rez  Robert De Niro  Usher Raymond  Rub�n Blades , https://m.media-amazon.com/images/M/MV5BMjQxNzE4ODU1Nl5BMl5BanBnXkFtZTgwMDA4Njk0ODE@._V1_SX300.jpg
Dirty Grandpa , movie , USA , Dan Mazer , English , Right before his wedding  an uptight guy is tricked into driving his grandfather  a lecherous former Army Lieutenant Colonel  to Florida for Spring Break. , 21 , Comedy , 5.9 , 22 Jan 2016 , R , 2 wins & 11 nominations. , Robert De Niro  Zac Efron  Zoey Deutch  Aubrey Plaza , https://m.media-amazon.com/images/M/MV5BMzk0NzkyNDk2M15BMl5BanBnXkFtZTgwNDczOTU3NzE@._V1_SX300.jpg
Joy , movie , USA , David O. Russell , English  Spanish  French , Joy is the story of the title character  who rose to become founder and matriarch of a powerful family business dynasty. , 56 , Drama , 6.6 , 25 Dec 2015 , PG-13 , Nominated for 1 Oscar. Another 8 wins & 22 nominations. , Jennifer Lawrence  Robert De Niro  Bradley Cooper  Edgar Ram�rez , https://m.media-amazon.com/images/M/MV5BNzRiOWZmMzUtZTJiOC00MjQ1LTkwMjgtNzhlYzBmODAzYTA0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg
Heist , movie , USA , Scott Mann , English , A father is without the means to pay for his daughter's medical treatment. As a last resort  he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus. , 37 , Action  Crime  Drama  Thriller , 6.1 , 11 Nov 2015 , R , N/A , Robert De Niro  Jeffrey Dean Morgan  Dave Bautista  Kate Bosworth , https://m.media-amazon.com/images/M/MV5BMjEzNTkyMDE3NV5BMl5BanBnXkFtZTgwMTM2MDY4NjE@._V1_SX300.jpg
Ellis , movie , USA , JR , English , A short film that evokes the early years of Ellis Island through the experience of one immigrant. , N/A , Short  Drama , 6.8 , 20 Nov 2015 , N/A , 1 win. , Robert De Niro , https://m.media-amazon.com/images/M/MV5BMTQ1NjU0ODE0NF5BMl5BanBnXkFtZTgwMTQwOTg0NzE@._V1_SX300.jpg
The Audition , movie , USA  Macao  UK , Martin Scorsese , English , Robert De Niro and Leonardo DiCaprio must compete for the lead role in Martin Scorsese's next film. , N/A , Short  Comedy , 6.8 , 27 Oct 2015 , Not Rated , N/A , Robert De Niro  Leonardo DiCaprio  Brad Pitt  Martin Scorsese , https://m.media-amazon.com/images/M/MV5BMjZlOTAzNTYtMTA5YS00NjU0LThiZTEtYTBjYmZkMGE1NDRlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg
The Intern , movie , USA , Nancy Meyers , English , Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game  he becomes a senior intern at an online fashion site  founded and run by Jules Ostin. , 51 , Comedy  Drama , 7.1 , 25 Sep 2015 , PG-13 , 1 win & 7 nominations. , Robert De Niro  Anne Hathaway  Rene Russo  Anders Holm , https://m.media-amazon.com/images/M/MV5BMTUyNjE5NjI5OF5BMl5BanBnXkFtZTgwNzYzMzU3NjE@._V1_SX300.jpg
The King of Comedy: Deleted and Extended Scenes , movie , USA , Martin Scorsese , English , The cut scenes include: Jerry Langford's Monologue  Rupert Visits Rita At Work (Extended)  Rupert and Rita's First Date (Extended)  Rupert's Dream Spot on Jerry's Show  Masha's Letter to ... , N/A , Short  Comedy  Crime  Drama , 6.3 , 25 Mar 2014 , N/A , N/A , Diahnne Abbott  Lou Brown  Robert De Niro  Richard Dioguardi , https://m.media-amazon.com/images/M/MV5BNzZhNTEzMjUtY2Y3Mi00NTIwLWE5NWQtMDk3YThjZTBiYjA1XkEyXkFqcGdeQXVyMjQ0NzE0MQ@@._V1_SX300.jpg
The Bag Man , movie , Bahamas  USA , David Grovic , English , A criminal bides his time at a seedy motel  waiting for his boss after killing several men and making away with a mystery bag. , 28 , Action  Crime  Drama  Thriller , 5.2 , 20 Mar 2014 , R , N/A , John Cusack  Rebecca Da Costa  Robert De Niro  Crispin Glover , https://m.media-amazon.com/images/M/MV5BMjE4NDc3NjUyNl5BMl5BanBnXkFtZTgwMDA4MDQwMTE@._V1_SX300.jpg
Grudge Match , movie , USA , Peter Segal , English , A pair of aging boxing rivals are coaxed out of retirement to fight one final bout  thirty years after their last match. , 35 , Comedy  Drama  Sport , 6.4 , 25 Dec 2013 , PG-13 , 1 win & 1 nomination. , Jim Lampley  Sylvester Stallone  Robert De Niro  Rich Little , https://m.media-amazon.com/images/M/MV5BMTY3NTkxMTgzNV5BMl5BanBnXkFtZTgwNjg0MzE2MDE@._V1_SX300.jpg
American Hustle , movie , USA , David O. Russell , English  Arabic , A con man  Irving Rosenfeld  along with his seductive partner Sydney Prosser  is forced to work for a wild F.B.I. Agent  Richie DiMaso  who pushes them into a world of Jersey powerbrokers and the Mafia. , 90 , Crime  Drama , 7.2 , 20 Dec 2013 , R , Nominated for 10 Oscars. Another 70 wins & 215 nominations. , Christian Bale  Bradley Cooper  Amy Adams  Jeremy Renner , https://m.media-amazon.com/images/M/MV5BMmM4YzJjZGMtNjQxMy00NjdlLWJjYTItZWZkYzdhOTdhNzFiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Last Vegas , movie , USA , Jon Turteltaub , English , Four friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal. , 48 , Comedy  Drama , 6.6 , 01 Nov 2013 , PG-13 , 4 wins & 1 nomination. , Michael Douglas  Robert De Niro  Morgan Freeman  Kevin Kline , https://m.media-amazon.com/images/M/MV5BMTQ2ODg2MTIyNF5BMl5BanBnXkFtZTgwMzU2NjgwMDE@._V1_SX300.jpg
The Family , movie , USA  France , Luc Besson , English  French  Italian , The Manzoni family  a notorious mafia clan  is relocated to Normandy  France under the Witness Protection Program  where fitting in soon becomes challenging  as their old habits die hard. , 42 , Comedy  Crime  Thriller , 6.3 , 13 Sep 2013 , R , 1 nomination. , Robert De Niro  Michelle Pfeiffer  Dianna Agron  John D'Leo , https://m.media-amazon.com/images/M/MV5BMjE2MzI0MzkyNV5BMl5BanBnXkFtZTcwMjQ2MDM2OQ@@._V1_SX300.jpg
Killing Season , movie , USA  Belgium  Bulgaria , Mark Steven Johnson , English  Serbian , Two veterans of the Bosnian War  one American  one Serbian  find their unlikely friendship tested when one of them reveals their true intentions. , 25 , Action  Drama  Thriller , 5.4 , 25 Jul 2013 , R , N/A , Robert De Niro  John Travolta  Milo Ventimiglia  Elizabeth Olin , https://m.media-amazon.com/images/M/MV5BOTQ2MzA3MTk3MV5BMl5BanBnXkFtZTcwMDM5ODk2OQ@@._V1_SX300.jpg
The Big Wedding , movie , USA , Justin Zackham , English  Spanish  Chinese  Latin , A long-divorced couple fakes being married as their family unites for a wedding. , 28 , Comedy  Drama  Romance , 5.6 , 26 Apr 2013 , R , 2 nominations. , Robert De Niro  Katherine Heigl  Diane Keaton  Amanda Seyfried , https://m.media-amazon.com/images/M/MV5BMTcwODUwMjg2Ml5BMl5BanBnXkFtZTcwMTc2NzkxOA@@._V1_SX300.jpg
Silver Linings Playbook , movie , USA , David O. Russell , English , After a stint in a mental institution  former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany  a mysterious girl with problems of her own. , 81 , Comedy  Drama  Romance , 7.7 , 25 Dec 2012 , R , Won 1 Oscar. Another 88 wins & 147 nominations. , Bradley Cooper  Jennifer Lawrence  Robert De Niro  Jacki Weaver , https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_SX300.jpg
Freelancers , movie , USA , Jessy Terrero , English , The son of a slain NYPD officer joins the force  where he falls in with his father's former partner and a team of rogue cops. , N/A , Action  Crime  Drama  Mystery , 4.6 , 12 Jan 2013 , R , N/A , 50 Cent  Forest Whitaker  Robert De Niro  Malcolm Goodwin , https://m.media-amazon.com/images/M/MV5BMjEyNjQ4NzM1MF5BMl5BanBnXkFtZTcwOTQyNjcxOA@@._V1_SX300.jpg
Being Flynn , movie , USA , Paul Weitz , English , Working in a Boston homeless shelter  Nick Flynn re-encounters his father  a con man and self-proclaimed poet. Sensing trouble in his own life  Nick wrestles with the notion of reaching out yet again to his dad. , 53 , Drama , 6.4 , 19 Apr 2012 , R , 1 win. , Robert De Niro  Paul Dano  Julianne Moore  Olivia Thirlby , https://m.media-amazon.com/images/M/MV5BMjI1OTI1MzU0NF5BMl5BanBnXkFtZTcwNDI2ODkwNw@@._V1_SX300.jpg
Red Lights , movie , Spain  Canada , Rodrigo Cort�s , English , Psychologist Margaret Matheson and her assistant study paranormal activity  which leads them to investigate a world-renowned psychic who has resurfaced years after his toughest critic mysteriously passed away. , 36 , Drama  Fantasy  Horror  Mystery  Thriller , 6.2 , 02 Mar 2012 , R , 2 nominations. , Cillian Murphy  Sigourney Weaver  Robert De Niro  Toby Jones , https://m.media-amazon.com/images/M/MV5BMTQzMjYwNTc2M15BMl5BanBnXkFtZTcwMTY0Mjc4Nw@@._V1_SX300.jpg
New Year's Eve , movie , USA , Garry Marshall , English , The lives of several couples and singles in New York City intertwine over the course of New Year's Eve. , 22 , Comedy  Romance , 5.7 , 09 Dec 2011 , PG-13 , 2 wins & 8 nominations. , Michelle Pfeiffer  Zac Efron  Charlotte Marshall-Fricker  Fiona Choi , https://m.media-amazon.com/images/M/MV5BMjI2Mzg2MDQxOV5BMl5BanBnXkFtZTcwNzc3NTY5Ng@@._V1_SX300.jpg
Killer Elite , movie , UK  Australia , Gary McKendry , English  Arabic  French  Spanish , When his mentor is taken captive by a disgraced Arab sheik  a killer-for-hire is forced into action. His mission: kill three members of Britain's elite Special Air Service responsible for the death of his sons. , 44 , Action  Thriller , 6.5 , 23 Sep 2011 , R , 2 wins & 8 nominations. , Jason Statham  Clive Owen  Robert De Niro  Dominic Purcell , https://m.media-amazon.com/images/M/MV5BMTc4MDAxMjAzNV5BMl5BanBnXkFtZTcwNTY3ODg3NQ@@._V1_SX300.jpg
Little Fockers: Alternate Opening  Wedding Dream and Morning Wakeup , movie , USA , N/A , English , N/A , N/A , Short  Comedy , 4.4 , 18 Apr 2011 , N/A , N/A , Robert De Niro  Teri Polo  Ben Stiller  Owen Wilson , https://m.media-amazon.com/images/M/MV5BMTkwNjE3NjQwOV5BMl5BanBnXkFtZTcwNzAyNTMwNA@@._V1_SX300.jpg
Little Fockers: Deleted Scenes , movie , USA , N/A , English , N/A , N/A , Short  Comedy , 5.4 , 18 Apr 2011 , N/A , N/A , Blythe Danner  Dustin Hoffman  Harvey Keitel  Teri Polo , N/A
Little Fockers: Gag Reel , movie , USA , N/A , English , N/A , N/A , Short  Comedy , 5.9 , 18 Apr 2011 , N/A , N/A , Blythe Danner  Harvey Keitel  Teri Polo  Owen Wilson , N/A
Limitless , movie , USA , Neil Burger , English  Russian  Italian  Mandarin  French , With the help of a mysterious pill that enables the user to access one hundred percent of his brain abilities  a struggling writer becomes a financial wizard  but it also puts him in a new world with lots of dangers. , 59 , Sci-Fi  Thriller , 7.4 , 18 Mar 2011 , PG-13 , 2 wins & 8 nominations. , Bradley Cooper  Robert De Niro  Abbie Cornish  Andrew Howard , https://m.media-amazon.com/images/M/MV5BYmViZGM0MGItZTdiYi00ZDU4LWIxNDYtNTc1NWQ5Njc2N2YwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
The Ages of Love , movie , Italy , Giovanni Veronesi , Italian , In Italy 3 men fall in love with 3 different women. First a young engaged lawyer has a fling then ditto with the 2nd married middle-aged man. 3rd story: a retired man/R.D.Niro falls in love with his friend's daughter/M.Bellucci. , N/A , Comedy  Romance , 5.9 , 25 Feb 2011 , N/A , 2 wins & 2 nominations. , Robert De Niro  Monica Bellucci  Riccardo Scamarcio  Michele Placido , https://m.media-amazon.com/images/M/MV5BNTMzYWViMzEtYjZhZi00ZDY5LThhZGUtM2JmZTExZTRjOTg2XkEyXkFqcGdeQXVyMTM3OTE2Mzg@._V1_SX300.jpg
30 Rock , series , USA , N/A , English , Liz Lemon (Tina Fey)  head writer of the sketch comedy show "TGS with Tracy Jordan"  must deal with an arrogant new boss and a crazy new star  all while trying to run a successful television show without losing her mind. , N/A , Comedy , 8.2 , 11 Oct 2006 , TV-14 , Won 6 Golden Globes. Another 80 wins & 320 nominations. , Tina Fey  Tracy Morgan  Jack McBrayer  Scott Adsit , https://m.media-amazon.com/images/M/MV5BMTQ4NDQ4OTUzOV5BMl5BanBnXkFtZTcwMjMzMTUyNw@@._V1_SX300.jpg
Little Fockers , movie , USA , Paul Weitz , English  Ukrainian , Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law  the male nurse Greg Focker  have what it takes? , 27 , Comedy  Romance , 5.5 , 22 Dec 2010 , PG-13 , 3 wins & 5 nominations. , Robert De Niro  Ben Stiller  Owen Wilson  Dustin Hoffman , https://m.media-amazon.com/images/M/MV5BMTkwNjE3NjQwOV5BMl5BanBnXkFtZTcwNzAyNTMwNA@@._V1_SX300.jpg
Stone , movie , USA , John Curran , English , A convicted arsonist looks to manipulate a parole officer into a plan to secure his parole by placing his beautiful wife in the lawman's path. , 58 , Drama  Thriller , 5.4 , 22 Oct 2010 , R , N/A , Robert De Niro  Edward Norton  Milla Jovovich  Frances Conroy , https://m.media-amazon.com/images/M/MV5BMTgxOTk4MDIyOF5BMl5BanBnXkFtZTcwMzI3Nzc3Mw@@._V1_SX300.jpg
Machete , movie , USA , Ethan Maniquis  Robert Rodriguez , English  Spanish  Hungarian , After being set-up and betrayed by the man who hired him to assassinate a Texas Senator  an ex-Federale launches a brutal rampage of revenge against his former boss. , 60 , Action  Crime  Thriller , 6.6 , 03 Sep 2010 , R , 2 wins & 6 nominations. , Danny Trejo  Robert De Niro  Jessica Alba  Steven Seagal , https://m.media-amazon.com/images/M/MV5BZWUxODc2NmItNThkNS00Mzc4LThlYTQtOTYwZjVhYjRiNmMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Everybody's Fine , movie , USA , Kirk Jones , English , A widower who realized his only connection to his family was through his wife sets off on an impromptu road trip to reunite with each of his grown children. , 47 , Drama , 7.1 , 04 Dec 2009 , PG-13 , Nominated for 1 Golden Globe. Another 1 win & 5 nominations. , Robert De Niro  Drew Barrymore  Kate Beckinsale  Sam Rockwell , https://m.media-amazon.com/images/M/MV5BMTM1NzEwNzA5MV5BMl5BanBnXkFtZTcwNTE0NjAyMw@@._V1_SX300.jpg
Righteous Kill , movie , USA , Jon Avnet , English  Spanish  Russian , Two veteran New York City detectives work on a case of serial executions of criminals who escaped justice. , 36 , Crime  Mystery  Thriller , 6.0 , 12 Sep 2008 , R , 1 win & 2 nominations. , Robert De Niro  Al Pacino  50 Cent  Carla Gugino , https://m.media-amazon.com/images/M/MV5BMTYwMjg3MjY3OV5BMl5BanBnXkFtZTcwNTc4MDU3MQ@@._V1_SX300.jpg
What Just Happened , movie , USA , Barry Levinson , English  Hebrew  French , Two weeks in the life of a fading Hollywood producer who's having a rough time trying to get his new picture made. , N/A , Comedy  Drama , 5.6 , 31 Oct 2008 , R , 1 nomination. , Robert De Niro  Sean Penn  Catherine Keener  Bruce Willis , https://m.media-amazon.com/images/M/MV5BNTEyMDg3ODAwNl5BMl5BanBnXkFtZTcwMzM3MTc3MQ@@._V1_SX300.jpg
Stardust , movie , UK  USA , Matthew Vaughn , English , In a countryside town bordering on a magical land  a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. , 66 , Adventure  Family  Fantasy  Romance , 7.6 , 10 Aug 2007 , PG-13 , 5 wins & 8 nominations. , Ian McKellen  Bimbo Hart  Alastair MacIntosh  David Kelly , https://m.media-amazon.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_SX300.jpg
Vanity Fair: Killers Kill  Dead Men Die , movie , USA , Annie Leibovitz , English , The most ambitious portfolio in the thirteen-year history of Vanity Fair's Hollywood Issue  this year's homage to noir had its own dramatic imperatives. , N/A , Short , 5.3 , 01 Mar 2007 , N/A , N/A , Amy Adams  Ben Affleck  Jessica Alba  Pedro Almod�var , https://m.media-amazon.com/images/M/MV5BNmU3YmVmNzItNjg2MS00ZGQ1LWEyM2QtMTNlZWMwMmVhOWZmXkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_SX300.jpg
The Good Shepherd , movie , USA , Robert De Niro , English  Spanish  Russian  German  Lingala , The tumultuous early history of the Central Intelligence Agency is viewed through the prism of one man's life. , 61 , Drama  History  Thriller , 6.7 , 22 Dec 2006 , R , Nominated for 1 Oscar. Another 2 wins & 11 nominations. , Matt Damon  Angelina Jolie  Alec Baldwin  Tammy Blanchard , https://m.media-amazon.com/images/M/MV5BMTU5MjExMzA1Nl5BMl5BanBnXkFtZTgwMzIxNzQxMTE@._V1_SX300.jpg
Arthur and the Invisibles , movie , France , Luc Besson , English , Ten-year-old Arthur  in a bid to save his grandfather's house from being demolished  goes looking for some much-fabled hidden treasure in the land of the Minimoys  tiny people living in harmony with nature. , 39 , Animation  Adventure  Family  Fantasy , 6.0 , 12 Jan 2007 , PG , 1 win & 4 nominations. , Freddie Highmore  Mia Farrow  Ron Crawford  Penny Balfour , https://m.media-amazon.com/images/M/MV5BNDQ2ODQ1NTM5OF5BMl5BanBnXkFtZTcwNjQzNTA0MQ@@._V1_SX300.jpg
Extras , series , UK  USA , N/A , English  German , Andy Millman (Ricky Gervais) is an actor with ambition and a script. Reduced to working as an extra with a useless agent  Andy's attempts to boost his career invariably end in failure and embarrassment. , N/A , Comedy  Drama , 8.3 , 25 Sep 2005 , TV-MA , Won 1 Golden Globe. Another 14 wins & 45 nominations. , Ricky Gervais  Ashley Jensen  Stephen Merchant  Shaun Williamson , https://m.media-amazon.com/images/M/MV5BZDdlMzFmNTAtN2IzNi00NGIxLWFkNGUtZGU1NTJiNGEwYTg5XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
Club Oscar , movie , USA , N/A , English , N/A , N/A , Animation  Short , N/A , 08 Feb 2005 , N/A , N/A , N/A , N/A
Hide and Seek , movie , Germany  USA , John Polson , English , As a widower tries to piece together his life in the wake of his wife's suicide  his daughter finds solace  at first  in her imaginary friend. , 35 , Drama  Horror  Mystery  Thriller , 6.0 , 28 Jan 2005 , R , 1 win & 5 nominations. , Robert De Niro  Dakota Fanning  Famke Janssen  Elisabeth Shue , https://m.media-amazon.com/images/M/MV5BMjA1MDkxNDY4OV5BMl5BanBnXkFtZTYwMzE4ODc3._V1_SX300.jpg
The Bridge of San Luis Rey , movie , UK  Spain  France , Mary McGuckian , English , In 1714 Peru  a friar is tried by the Inquisition for questioning God's intentions when five die in the collapse of an Andean rope bridge. , 25 , Drama  Romance , 5.1 , 22 Dec 2004 , PG , 1 win. , F. Murray Abraham  Kathy Bates  Gabriel Byrne  Geraldine Chaplin , https://m.media-amazon.com/images/M/MV5BMjA0NDEwMTA2Nl5BMl5BanBnXkFtZTcwNjEyMTAzMQ@@._V1_SX300.jpg
Meet the Fockers , movie , USA , Jay Roach , English  Spanish  Hebrew , All hell breaks loose when the Byrnes family meets the Focker family for the first time. , 41 , Comedy  Romance , 6.3 , 22 Dec 2004 , PG-13 , 2 wins & 7 nominations. , Robert De Niro  Ben Stiller  Dustin Hoffman  Barbra Streisand , https://m.media-amazon.com/images/M/MV5BMWZjODQxMWMtZmIzYS00YjMwLWFiZTctYmFiZmJiNjljYWVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Shark Tale , movie , USA , Bibo Bergeron  Vicky Jenson  Rob Letterman , English , When a son of a gangster shark boss is accidentally killed while on the hunt  his would-be prey and his vegetarian brother decide to use the incident to their own advantage. , 48 , Animation  Adventure  Comedy  Family  Fantasy , 6.0 , 01 Oct 2004 , PG , Nominated for 1 Oscar. Another 3 wins & 15 nominations. , Will Smith  Robert De Niro  Ren�e Zellweger  Jack Black , https://m.media-amazon.com/images/M/MV5BMTMxMjY0NzE2M15BMl5BanBnXkFtZTcwNTc3ODcyMw@@._V1_SX300.jpg
Godsend , movie , Canada  USA , Nick Hamm , English , A couple agree to have their deceased son cloned  under the supervision of an enigmatic doctor  but bizarre things start to happen several years after his rebirth. , 24 , Action  Drama  Fantasy  Horror  Sci-Fi  Thriller , 4.8 , 30 Apr 2004 , PG-13 , N/A , Greg Kinnear  Rebecca Romijn  Robert De Niro  Cameron Bright , https://m.media-amazon.com/images/M/MV5BMTYzNzE3MTg5Ml5BMl5BanBnXkFtZTcwMTIxNDYwNQ@@._V1_SX300.jpg
Analyze That , movie , USA , Harold Ramis , English , Mobster Paul Vitti is released into Dr. Ben Sobol's care  where only more chaos ensues. , 37 , Comedy  Crime , 5.9 , 06 Dec 2002 , R , 1 win. , Robert De Niro  Billy Crystal  Lisa Kudrow  Joe Viterelli , https://m.media-amazon.com/images/M/MV5BMTc0OTYwMzQ5OF5BMl5BanBnXkFtZTYwMzQyMDg5._V1_SX300.jpg
City by the Sea , movie , USA , Michael Caton-Jones , English , Vincent Lamarca  whose father was executed for a 1950s kidnapping of a child  grew up to become a police officer  only to see his own son become a murder suspect. , 50 , Crime  Drama  Mystery  Thriller , 6.1 , 06 Sep 2002 , R , 1 nomination. , Robert De Niro  Frances McDormand  James Franco  Eliza Dushku , https://m.media-amazon.com/images/M/MV5BMTIwMjc1MzI3MF5BMl5BanBnXkFtZTYwMjUwMjY3._V1_SX300.jpg
Showtime , movie , USA  Australia , Tom Dey , English , A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based television cop show  while tracking down the manufacturer and distributor of an illegally made semi-automatic firearm. , 32 , Action  Comedy  Crime , 5.5 , 15 Mar 2002 , PG-13 , 1 win & 6 nominations. , Robert De Niro  Rachael Harris  Eddie Murphy  Zaid Farid , https://m.media-amazon.com/images/M/MV5BZTQzNGUyYzEtYzhlOC00YTQzLWJmOGYtOTNlMzE1Yjk4MDkzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
The Score , movie , Germany  Canada  USA , Frank Oz , English  French , An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist. , 71 , Crime  Drama  Thriller , 6.8 , 13 Jul 2001 , R , 1 win & 1 nomination. , Robert De Niro  Edward Norton  Marlon Brando  Angela Bassett , https://m.media-amazon.com/images/M/MV5BZDNjYmY1ZDEtM2I3YS00MDhmLTk5NDYtYzU5MTA4ZjIyYzJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
15 Minutes , movie , USA  Germany , John Herzfeld , English  Czech  Russian  Greek  Afrikaans , A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings. , 34 , Action  Crime  Drama  Thriller , 6.1 , 09 Mar 2001 , R , 1 nomination. , Robert De Niro  Edward Burns  Kelsey Grammer  Avery Brooks , https://m.media-amazon.com/images/M/MV5BMTI3MzQ1MzIwNl5BMl5BanBnXkFtZTYwMTAxODc5._V1_SX300.jpg
