Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
The 2013 Rock and Roll Hall of Fame Induction Ceremony , movie , USA , Joel Gallen , English , N/A , N/A , Music , 6.8 , 18 May 2013 , TV-14 , Nominated for 2 Primetime Emmys. Another 2 nominations. , Harry Belafonte  Tommy Chong  Chuck D.  Michael DeRosier , https://m.media-amazon.com/images/M/MV5BYWJjY2ZiMzItNzgwOS00NDFmLWI3ZTYtYTU2NzczOTJmOGU3XkEyXkFqcGdeQXVyMTUyODMyMw@@._V1_SX300.jpg
Electric City , series , USA , N/A , English , A view of the future of civilization  presented through the lens of provocative themes such as energy consumption  freedom of information  crime and punishment. , N/A , Animation  Short  Action  Drama  Fantasy  Sci-Fi , 7.0 , 17 Jul 2012 , N/A , 1 win & 1 nomination. , Tom Hanks  Paul Scheer  Chad L. Coleman  Jason Antoon , https://m.media-amazon.com/images/M/MV5BNDRiMDY0ZWYtNjdjOC00YTJiLTllOTItYTQ0NWFkYzQ0NjcwXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
The 2012 Rock and Roll Hall of Fame Induction Ceremony , movie , USA , Joel Gallen , English , N/A , N/A , Music , 8.0 , 05 May 2012 , N/A , Won 1 Primetime Emmy. Another 1 win. , Freddie King  Donovan  Laura Nyro  Small Faces , https://m.media-amazon.com/images/M/MV5BOWJkODhhZjQtMDk1Ny00MjNkLTg4M2YtN2E0ZWM5Mzg4OTVhXkEyXkFqcGdeQXVyMTA1NTQzODc@._V1_SX300.jpg
Game Change , movie , USA , Jay Roach , English , Governor Sarah Palin of Alaska becomes Senator John McCain's running mate in the 2008 Presidential election. , N/A , Biography  Drama  History , 7.4 , 10 Mar 2012 , TV-MA , Won 3 Golden Globes. Another 28 wins & 39 nominations. , Julianne Moore  Woody Harrelson  Ed Harris  Peter MacNicol , https://m.media-amazon.com/images/M/MV5BMTQwNjkzNzg4NV5BMl5BanBnXkFtZTcwODIxMTM0Nw@@._V1_SX300.jpg
He Has Seen War , movie , USA , Mark Herzog , English , He Has Seen War is a documentary featuring surviving veterans of Easy Company and the 1st Marine Division  whose stories are told in Band of Brothers and The Pacific. From their initial ... , N/A , Documentary , 7.6 , 11 Nov 2011 , N/A , N/A , R.V. Burgin  Eric Compton  Tracy Compton  Gene Guarnere , https://m.media-amazon.com/images/M/MV5BMWU0ZTFkNjYtZTVjZi00MzEzLTgxMjctYTM0ZDNjZDM5YTcxXkEyXkFqcGdeQXVyODczMDQ2MzM@._V1_SX300.jpg
Larry Crowne , movie , USA , Tom Hanks , English , After losing his job  a middle-aged man reinvents himself by going back to college. , 41 , Comedy  Drama  Romance , 6.1 , 01 Jul 2011 , PG-13 , 3 nominations. , Tom Hanks  Sarah Mahoney  Roxana Ortega  Randall Park , https://m.media-amazon.com/images/M/MV5BYjQ4MzlmZDUtN2ViMi00ZTAwLWFkMmItNGRlZmM1NjQ1ZmJjXkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg
The 3 Minute Talk Show , series , USA , N/A , English , N/A , N/A , Comedy , 5.0 , 26 Jan 2011 , N/A , N/A , Ben Lee  Barry Sobel  Fred Willard , N/A
Big Love , series , USA , N/A , English , A polygamist and his relationship with his three wives. , N/A , Drama , 7.5 , 12 Mar 2006 , TV-MA , Won 1 Golden Globe. Another 6 wins & 45 nominations. , Bill Paxton  Jeanne Tripplehorn  Chlo� Sevigny  Ginnifer Goodwin , https://m.media-amazon.com/images/M/MV5BMTkxMjEzNTE0Ml5BMl5BanBnXkFtZTcwNTM3MDAzNA@@._V1_SX300.jpg
The Pacific , series , USA  Australia , N/A , English , The Pacific Theatre of World War II  as seen through the eyes of several young Marines. , N/A , Action  Adventure  Drama  History  War , 8.3 , 14 Mar 2010 , TV-MA , Nominated for 1 Golden Globe. Another 35 wins & 42 nominations. , James Badge Dale  Joseph Mazzello  Jon Seda  Ashton Holmes , https://m.media-amazon.com/images/M/MV5BNmEwNmI1MjItNjNjYy00NDE5LWJiNTYtM2QxMTI5ZjllZTBhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
The 25th Anniversary Rock and Roll Hall of Fame Concert , movie , USA , Joel Gallen , English , A four-hour music event featuring performances from two concerts held at Madison Square Garden. , N/A , Music , 8.7 , 29 Nov 2009 , Not Rated , Won 3 Primetime Emmys. Another 4 nominations. , Jeff Beck  Crosby Stills & Nash  Aretha Franklin  Metallica , https://m.media-amazon.com/images/M/MV5BZGQzODZmYWMtNjI2ZS00ZTRjLWEwN2EtYmY3MmQ4NmZjZDJhXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
Beyond All Boundaries , movie , USA , David Briggs , English , A visual  4-D experience of the battles of World War II featuring stories  archival footage and advanced special effects. , N/A , Short  War , 7.2 , 09 Nov 2009 , N/A , 1 nomination. , Kevin Bacon  Corbin Bleu  Patricia Clarkson  Kevin Connolly , https://m.media-amazon.com/images/M/MV5BMTQwNjU1NjE0NV5BMl5BanBnXkFtZTcwNTg4MzI1Mw@@._V1_SX300.jpg
Where the Wild Things Are , movie , Germany  Australia  USA , Spike Jonze , English , Yearning for escape and adventure  a young boy runs away from home and sails to an island filled with creatures that take him in as their king. , 71 , Adventure  Drama  Family  Fantasy , 6.7 , 16 Oct 2009 , PG , Nominated for 1 Golden Globe. Another 7 wins & 53 nominations. , Max Records  Pepita Emmerichs  Max Pfeifer  Madeleine Greaves , https://m.media-amazon.com/images/M/MV5BNzQ1NzAwODEwM15BMl5BanBnXkFtZTcwNTE4MjI4Mg@@._V1_SX300.jpg
My Life in Ruins , movie , USA  Spain , Donald Petrie , English  Greek , A travel guide rediscovers her romantic side on a trip around Greece. , 34 , Comedy  Romance , 5.9 , 05 Jun 2009 , PG-13 , 1 nomination. , Nia Vardalos  Richard Dreyfuss  Alexis Georgoulis  Alistair McGowan , https://m.media-amazon.com/images/M/MV5BOTE3MzQ2NzczNl5BMl5BanBnXkFtZTcwMjgyNDgzMg@@._V1_SX300.jpg
City of Ember , movie , USA , Gil Kenan , English , For generations  the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing ... and the great lamps that illuminate the city are starting to flicker. , 58 , Adventure  Family  Fantasy  Sci-Fi , 6.5 , 10 Oct 2008 , PG , 6 nominations. , Saoirse Ronan  David Ryall  Harry Treadaway  Mary Kay Place , https://m.media-amazon.com/images/M/MV5BMTU3MDE4MDU1Nl5BMl5BanBnXkFtZTcwNDM2NDI5MQ@@._V1_SX300.jpg
Mamma Mia! , movie , USA  UK  Germany , Phyllida Lloyd , English  Greek , The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA. , 51 , Comedy  Musical  Romance , 6.4 , 18 Jul 2008 , PG-13 , Nominated for 2 Golden Globes. Another 15 wins & 23 nominations. , Amanda Seyfried  Stellan Skarsg�rd  Pierce Brosnan  Nancy Baldwin , https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_SX300.jpg
David McCullough: Painting with Words , movie , USA , Mark Herzog , English , N/A , N/A , Documentary , 7.5 , 28 May 2008 , N/A , N/A , David McCullough  Rosalee McCullough , N/A
John Adams , series , USA , N/A , English , The life of one of the USA's Founding Fathers  its second President  and his role in the nation's first 50 years. , N/A , Biography  Drama  History , 8.5 , 16 Mar 2008 , TV-14 , Won 4 Golden Globes. Another 45 wins & 35 nominations. , Paul Giamatti  Laura Linney  John Dossett  Stephen Dillane , https://m.media-amazon.com/images/M/MV5BMTQwNDc0MDE2MF5BMl5BanBnXkFtZTcwODYwNjE2MQ@@._V1_SX300.jpg
The Great Buck Howard , movie , USA , Sean McGinly , English , A young man  much to the chagrin of his father  becomes the new assistant to an illusionist in decline. , 63 , Comedy  Drama , 6.4 , 10 Apr 2009 , PG , 1 nomination. , John Malkovich  Colin Hanks  Emily Blunt  Ricky Jay , https://m.media-amazon.com/images/M/MV5BNDE2Njc3MjI5NV5BMl5BanBnXkFtZTcwODAxOTQzMg@@._V1_SX300.jpg
Charlie Wilson's War , movie , USA  Germany , Mike Nichols , English  Dari  Russian  Urdu  Hebrew  Arabic , A drama based on a Texas congressman Charlie Wilson's covert dealings in Afghanistan  where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects. , 69 , Biography  Comedy  Drama  History , 7.0 , 21 Dec 2007 , R , Nominated for 1 Oscar. Another 5 wins & 22 nominations. , Tom Hanks  Amy Adams  Julia Roberts  Philip Seymour Hoffman , https://m.media-amazon.com/images/M/MV5BMTgwMDgwMDc4MF5BMl5BanBnXkFtZTYwOTU3MDM4._V1_SX300.jpg
Evan Almighty , movie , USA , Tom Shadyac , English , God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood. , 37 , Comedy  Family  Fantasy , 5.4 , 22 Jun 2007 , PG , 2 wins & 11 nominations. , Steve Carell  Morgan Freeman  Lauren Graham  Johnny Simmons , https://m.media-amazon.com/images/M/MV5BMTUxMTEzODYxMV5BMl5BanBnXkFtZTcwNzQ4ODU0MQ@@._V1_SX300.jpg
Big Love: In the Beginning , series , USA , N/A , English , N/A , N/A , Drama , 6.4 , 04 Jun 2007 , N/A , N/A , Chlo� Sevigny  Ginnifer Goodwin  Bill Paxton  Jeanne Tripplehorn , N/A
Starter for 10 , movie , UK  USA , Tom Vaughan , English , Set in 1985  working-class student Brian Jackson (McAvoy) navigates his first year at Bristol University. , 69 , Comedy  Drama  Romance  Sport , 6.7 , 09 Mar 2007 , PG-13 , 1 win & 3 nominations. , Joseph Friend  James Gaddas  Catherine Tate  Mark Gatiss , https://m.media-amazon.com/images/M/MV5BMTI2MTE3OTY5Nl5BMl5BanBnXkFtZTcwNzA1NzA0MQ@@._V1_SX300.jpg
The Ant Bully , movie , USA , John A. Davis , English , After Lucas Nickle floods an ant colony with his watergun  he's magically shrunken down to insect size and sentenced to hard labor in the ruins. , 59 , Animation  Adventure  Comedy  Family  Fantasy , 5.8 , 28 Jul 2006 , PG , 1 win & 4 nominations. , Julia Roberts  Nicolas Cage  Meryl Streep  Paul Giamatti , https://m.media-amazon.com/images/M/MV5BMjE2OTYwMzQzNl5BMl5BanBnXkFtZTcwNDM1MjMzMQ@@._V1_SX300.jpg
Neil Young: Heart of Gold , movie , USA , Jonathan Demme , English , A film shot over during a two-night performance by Neil Young at Nashville's Ryman Auditorium. , 85 , Documentary  Music , 7.7 , 11 May 2006 , PG , 1 win & 2 nominations. , Neil Young  Emmylou Harris  Ben Keith  Spooner Oldham , https://m.media-amazon.com/images/M/MV5BMTY2MjUzMTMwOF5BMl5BanBnXkFtZTgwMzI0MDczMjI@._V1_SX300.jpg
We're with the Band , movie , USA , Johanna Stein , English , An improvised mockumentary ensemble comedy that follows Alanis Morissette and her crew around  on stage and off. , N/A , Documentary  Comedy , 7.8 , N/A , N/A , N/A , Alanis Morissette  Greg Ellis  Jeff Rosenthal  Brian Blondell , N/A
Magnificent Desolation: Walking on the Moon 3D , movie , USA , Mark Cowen , English , This program strives to give the viewer an impression of what it is like to actually be on the moon. It provides a romantic  inspirational depiction of the Apollo astronauts travels on the ... , 71 , Documentary  Animation  Short , 6.9 , 23 Sep 2005 , Unrated , 1 win. , Tom Hanks  John Corbett  Andrew Husmann  Bryan Cranston , https://m.media-amazon.com/images/M/MV5BMTIxNDk3OTU0NF5BMl5BanBnXkFtZTcwOTU3MjAzMQ@@._V1_SX300.jpg
The Polar Express , movie , USA , Robert Zemeckis , English , On Christmas Eve  a young boy embarks on a magical adventure to the North Pole on the Polar Express  while learning about friendship  bravery  and the spirit of Christmas. , 61 , Animation  Adventure  Comedy  Family  Fantasy  Musical , 6.6 , 10 Nov 2004 , G , Nominated for 3 Oscars. Another 5 wins & 23 nominations. , Tom Hanks  Leslie Zemeckis  Eddie Deezen  Nona Gaye , https://m.media-amazon.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_SX300.jpg
Connie and Carla , movie , USA , Michael Lembeck , English , A mob mix-up in Chicago sends two chanteuses screaming for L.A.  where they score a perfect gig: posing as drag queens on the dinner theater/cabaret circuit. Things get extra-weird when a guy falls for one of the girls. , 44 , Comedy  Crime  Music , 6.2 , 16 Apr 2004 , PG-13 , 1 win. , Nia Vardalos  Toni Collette  David Duchovny  Stephen Spinella , https://m.media-amazon.com/images/M/MV5BMTgyMzMyNDU0MV5BMl5BanBnXkFtZTYwMjg4MjI3._V1_SX300.jpg
My Big Fat Greek Life , series , USA , N/A , English , The continued adventures of the Portokalos family from the film "My Big Fat Greek Wedding"  starting when Nia and her husband return from their honeymoon. , N/A , Comedy , 4.5 , 24 Feb 2003 , TV-PG , N/A , Nia Vardalos  Lainie Kazan  Steven Eckholdt  Gia Carides , https://m.media-amazon.com/images/M/MV5BMTI1NjQ2ODI2MF5BMl5BanBnXkFtZTcwODE1NTQyMQ@@._V1_SX300.jpg
My Big Fat Greek Wedding , movie , Canada  USA , Joel Zwick , English  Greek , A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity. , 62 , Comedy  Drama  Romance , 6.5 , 02 Aug 2002 , PG , Nominated for 1 Oscar. Another 20 wins & 28 nominations. , Nia Vardalos  Michael Constantine  Christina Eleusiniotis  Kaylee Vieira , https://m.media-amazon.com/images/M/MV5BNzcwOWU4NGEtYjUyMy00MDNlLThiN2MtYzFlMjk4Y2FhNjlmXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg
We Stand Alone Together , movie , USA , Mark Cowen , English , Compiled over two years  an 'on-camera oral history' of Easy Company  told by the veterans themselves. Accompanies the mini-series Band of Brothers. , N/A , Documentary , 8.6 , 10 Nov 2001 , TV-PG , N/A , James Alley Jr.  Roderick Bain  Lynn 'Buck' Compton  Antonio Garc�a de Pedro , https://m.media-amazon.com/images/M/MV5BYmEyZmY1MTUtMmEwNy00ZmFmLWEwNGEtZTg1YzMzZWZkNjE1XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg
Band of Brothers , series , USA  UK , N/A , English  Dutch  French  German  Lithuanian , The story of Easy Company of the U.S. Army 101st Airborne Division  and their mission in World War II Europe  from Operation Overlord  through V-J Day. , N/A , Action  Drama  History  War , 9.5 , 09 Sep 2001 , TV-MA , Won 1 Golden Globe. Another 33 wins & 25 nominations. , Scott Grimes  Damian Lewis  Ron Livingston  Shane Taylor , https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_SX300.jpg
West Point , series , USA , N/A , English , N/A , N/A , N/A , 7.2 , N/A , N/A , N/A , N/A , N/A
Cast Away , movie , USA , Robert Zemeckis , English  Russian , A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island. , 73 , Adventure  Drama  Romance , 7.8 , 22 Dec 2000 , PG-13 , Nominated for 2 Oscars. Another 15 wins & 35 nominations. , Paul Sanchez  Lari White  Leonid Citer  David Allen Brooks , https://m.media-amazon.com/images/M/MV5BN2Y5ZTU4YjctMDRmMC00MTg4LWE1M2MtMjk4MzVmOTE4YjkzXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg
American Experience , series , USA , N/A , English , A series showcasing documentaries on American history. , N/A , Documentary  Biography  History , 8.5 , 04 Oct 1988 , Not Rated , Nominated for 1 Oscar. Another 82 wins & 117 nominations. , David McCullough  David Ogden Stiers  Michael Murphy  Oliver Platt , https://m.media-amazon.com/images/M/MV5BNmIxZjgyYjAtOTg3ZC00MjBkLWE4NTMtOTgwNDczMDc5NDI5XkEyXkFqcGdeQXVyODQ1NTk5OQ@@._V1_SX300.jpg
From the Earth to the Moon , series , USA , N/A , English , Dramatized portrayal of the Apollo manned space program. , N/A , Action  Drama  History  Thriller , 8.6 , 05 Apr 1998 , TV-14 , Won 1 Golden Globe. Another 21 wins & 32 nominations. , Tom Hanks  Nick Searcy  Lane Smith  David Andrews , https://m.media-amazon.com/images/M/MV5BMTg1NTM4ODctMWUxYi00NDZhLWJhNGEtNzA3MGE4MWY4N2E2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
News of the World , movie , USA , Paul Greengrass , English , A Texan traveling across the wild West bringing the news of the world to local townspeople  agrees to help rescue a young girl who was kidnapped. , N/A , Drama  Western , N/A , 25 Dec 2020 , N/A , N/A , Tom Hanks  Neil Sandilands  Helena Zengel  Thomas Francis Murphy , N/A
BIOS , movie , UK  USA , Miguel Sapochnik , English , On a post-apocalyptic earth  a robot  built to protect the life of his dying creator's beloved dog  learns about life  love  friendship and what it means to be human. , N/A , Drama  Sci-Fi , N/A , 02 Oct 2020 , N/A , N/A , Tom Hanks  Caleb Landry Jones  Samira Wiley  Skeet Ulrich , N/A
Greyhound , movie , USA , Aaron Schneider , English , During World War II  a US Navy skipper must lead an Allied convoy being stalked by Nazi U-boat wolf packs. , N/A , Drama  War , N/A , 08 May 2020 , N/A , N/A , Tom Hanks  Elisabeth Shue  Stephen Graham  Manuel Garcia-Rulfo , N/A
A Beautiful Day in the Neighborhood , movie , China  USA , Marielle Heller , English , Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel. , 80 , Biography  Drama , 7.4 , 22 Nov 2019 , PG , Nominated for 1 Oscar. Another 3 wins & 57 nominations. , Tom Hanks  Matthew Rhys  Chris Cooper  Susan Kelechi Watson , https://m.media-amazon.com/images/M/MV5BYTc1OWFmZDYtNDkzMy00ZjM2LTkxZDItM2E3ZTg3NTE1ZWE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
Toy Story 4 , movie , USA , Josh Cooley , English , When a new toy called "Forky" joins Woody and the gang  a road trip alongside old and new friends reveals how big the world can be for a toy. , 84 , Animation  Adventure  Comedy  Family  Fantasy , 7.9 , 21 Jun 2019 , G , Nominated for 2 Oscars. Another 48 wins & 48 nominations. , Tom Hanks  Tim Allen  Annie Potts  Tony Hale , https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_SX300.jpg
The Post , movie , USA  UK , Steven Spielberg , English , A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government. , 83 , Biography  Drama  History  Thriller , 7.2 , 12 Jan 2018 , PG-13 , Nominated for 2 Oscars. Another 18 wins & 111 nominations. , Meryl Streep  Tom Hanks  Sarah Paulson  Bob Odenkirk , https://m.media-amazon.com/images/M/MV5BMjQyMjEwOTIwNV5BMl5BanBnXkFtZTgwOTkzNTMxNDM@._V1_SX300.jpg
The David S. Pumpkins Halloween Special , movie , USA , Don Roy King , English , Set in a small suburban town on All Hallows' Eve and centers on Pumpkins and his dancing skeleton sidekicks  who show a young boy and his sister the true meaning of Halloween. , N/A , Animation  Short  Comedy  Family  Fantasy  Music , 6.2 , 28 Oct 2017 , Not Rated , N/A , Tom Hanks  Peter Dinklage  Cecily Strong  Melissa Villase�or , https://m.media-amazon.com/images/M/MV5BZWEzNzc1ZTItN2VkNy00YmQ1LWJlZTgtYTljMzJhM2JkMmFjXkEyXkFqcGdeQXVyMTAzNDMwMDY@._V1_SX300.jpg
