Title , Type , Country Origin , Director , Languages , Plot , Metascore , Genre , Rating  , Relese Date , Rated , Awards , Actors , Poster link
Gangs of New York , movie , USA  Italy , Martin Scorsese , English  Irish  Chinese  Latin , In 1862  Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher  his father's killer. , 72 , Crime  Drama , 7.5 , 20 Dec 2002 , R , Nominated for 10 Oscars. Another 50 wins & 124 nominations. , Leonardo DiCaprio  Daniel Day-Lewis  Cameron Diaz  Jim Broadbent , https://m.media-amazon.com/images/M/MV5BNDg3MmI1ZDYtMDZjYi00ZWRlLTk4NzEtZjY4Y2U0NjE5YmRiXkEyXkFqcGdeQXVyNzAxMjE1NDg@._V1_SX300.jpg
Don's Plum , movie , USA  Denmark  Sweden , R.D. Robb , English , A group of Los Angeles teenagers meet every week at their local diner to discuss their latest misadventures in their miserable lives. , N/A , Comedy  Drama , 5.8 , 24 Aug 2001 , N/A , N/A , Scott Bloom  Kevin Connolly  Tobey Maguire  Leonardo DiCaprio , https://m.media-amazon.com/images/M/MV5BMTc0OTM0ODcyNl5BMl5BanBnXkFtZTcwNTI3MTAzMQ@@._V1_SX300.jpg
The Beach , movie , USA  UK , Danny Boyle , English  French  Swedish  Thai  Serbian , Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise  a tropical bliss. Excited and intrigued  he sets out to find it. , 43 , Adventure  Drama  Romance  Thriller , 6.7 , 11 Feb 2000 , R , 7 nominations. , Leonardo DiCaprio  Daniel York  Patcharawan Patarakijjanon  Virginie Ledoyen , https://m.media-amazon.com/images/M/MV5BNTljZTUzYWUtOTI4YS00NmZlLWE5MmQtZjFlZDZhNjg4MjQxXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg
Celebrity , movie , USA , Woody Allen , English , The fortunes of a husband and wife differ drastically after they divorce. , 41 , Comedy  Drama , 6.3 , 20 Nov 1998 , R , 4 nominations. , Greg Mottola  Jeff Mazzola  Dick Mingalone  Vladimir Bibic , https://m.media-amazon.com/images/M/MV5BOWY0ZjYyMTItNjNlMi00NWI5LTkzY2MtYTczNjcyNDMwMTJmXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg
The Man in the Iron Mask , movie , France  USA , Randall Wallace , English  Italian , The cruel King Louis XIV of France has a secret twin brother whom he keeps imprisoned. Can the twin be substituted for the real king? , 48 , Action  Adventure  Drama , 6.5 , 13 Mar 1998 , PG-13 , 3 wins & 4 nominations. , Leonardo DiCaprio  Jeremy Irons  John Malkovich  G�rard Depardieu , https://m.media-amazon.com/images/M/MV5BZjM2YzcxMmQtOTc2Mi00YjdhLWFlZjUtNmFmMDQzYzU2YTk5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Titanic , movie , USA , James Cameron , English  Swedish  Italian , A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious  ill-fated R.M.S. Titanic. , 75 , Drama  Romance , 7.8 , 19 Dec 1997 , PG-13 , Won 11 Oscars. Another 114 wins & 83 nominations. , Leonardo DiCaprio  Kate Winslet  Billy Zane  Kathy Bates , https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
Marvin's Room , movie , USA , Jerry Zaks , English , After 20 years caring for her father  a woman with cancer now must re-connect with her trashy sister and nephews she's never met after being diagnosed. Her love helps the angry teen nephew  and her sister learns to relate to people. , 68 , Drama , 6.7 , 28 Feb 1997 , PG-13 , Nominated for 1 Oscar. Another 4 wins & 12 nominations. , Meryl Streep  Leonardo DiCaprio  Diane Keaton  Robert De Niro , https://m.media-amazon.com/images/M/MV5BOTk0ZDk3YWItZDZlOC00Y2FiLTgxNzYtODZmYzdkYWVmNmRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Romeo + Juliet , movie , USA  Mexico  Australia , Baz Luhrmann , English , Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue. , 60 , Drama  Romance , 6.7 , 01 Nov 1996 , PG-13 , Nominated for 1 Oscar. Another 15 wins & 27 nominations. , Leonardo DiCaprio  Claire Danes  John Leguizamo  Harold Perrineau , https://m.media-amazon.com/images/M/MV5BMGU4YmI1ZGQtZjExYi00M2E0LTgyYTAtNzQ5ZmVlMTk4NzUzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Total Eclipse , movie , UK  France  Belgium , Agnieszka Holland , English , Young  wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce  forbidden romance while feeling the effects of a hellish artistic lifestyle. , 42 , Biography  Drama  Romance , 6.6 , 03 Nov 1995 , R , 1 nomination. , Leonardo DiCaprio  David Thewlis  Romane Bohringer  Dominique Blanc , https://m.media-amazon.com/images/M/MV5BMjEyMTY0NDM2N15BMl5BanBnXkFtZTcwMjMzNDYxMQ@@._V1_SX300.jpg
The Quick and the Dead , movie , Japan  USA , Sam Raimi , English  Spanish , A female gunfighter returns to a frontier town where a dueling tournament is being held  which she enters in an effort to avenge her father's death. , 49 , Action  Romance  Thriller  Western , 6.4 , 10 Feb 1995 , R , 1 nomination. , Sharon Stone  Gene Hackman  Russell Crowe  Leonardo DiCaprio , https://m.media-amazon.com/images/M/MV5BOTI2ZTZmMmItMmM3YS00ZjUwLWJiODMtMmRjMWM4NDE0OWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Basketball Diaries , movie , USA , Scott Kalvert , English , A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction. , 46 , Biography  Crime  Drama  Sport , 7.3 , 21 Apr 1995 , R , N/A , Leonardo DiCaprio  Lorraine Bracco  Marilyn Sokol  James Madio , https://m.media-amazon.com/images/M/MV5BMjdlNzQxZGUtZTg5YS00ODg2LTkxMzctMDAyNmEwM2YyZjA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Foot Shooting Party , movie , USA , Annette Haywood-Carter , English , The lead singer of a band gets drafted for war in Vietnam. So as not to break up the band  he decides to shoot his own foot. , N/A , Short , 5.8 , N/A , N/A , N/A , Leonardo DiCaprio  Jake Busey  Bradley Gregg  Darin Heames , https://m.media-amazon.com/images/M/MV5BNTI0YTQyNDctZDAyOC00NDIwLWE4ZDMtNjZkNWU2M2NmOTAzXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg
What's Eating Gilbert Grape , movie , USA , Lasse Hallstr�m , English , A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness. , 73 , Drama , 7.8 , 04 Mar 1994 , PG-13 , Nominated for 1 Oscar. Another 8 wins & 6 nominations. , Johnny Depp  Leonardo DiCaprio  Juliette Lewis  Mary Steenburgen , https://m.media-amazon.com/images/M/MV5BY2EyZDlhNjItODYzNi00Mzc3LWJjOWUtMTViODU5MTExZWMyL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
This Boy's Life , movie , USA , Michael Caton-Jones , English , The story about the relationship between a rebellious 1950s teenager and his abusive stepfather  based on the memoirs of writer and literature Professor Tobias Wolff. , 60 , Biography  Drama , 7.3 , 23 Apr 1993 , R , 2 wins & 2 nominations. , Robert De Niro  Ellen Barkin  Leonardo DiCaprio  Jonah Blechman , https://m.media-amazon.com/images/M/MV5BODA5ZTBjNjktZTc0OS00Yjc5LWJiNzUtYmRhYjVkYTI4MWExL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Growing Pains , series , USA , N/A , English , The misadventures of a family with a home business father and a journalist mother. , N/A , Comedy  Family , 6.6 , 24 Sep 1985 , TV-G , Nominated for 3 Golden Globes. Another 16 wins & 20 nominations. , Alan Thicke  Joanna Kerns  Kirk Cameron  Jeremy Miller , https://m.media-amazon.com/images/M/MV5BYjhiNDNkNTAtNTE4Yi00YWQ0LTlhMzItMThiYjNjMmFkZWIxXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_SX300.jpg
Poison Ivy , movie , USA , Katt Shea , English , A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family. , N/A , Drama  Thriller , 5.4 , 08 May 1992 , R , 2 nominations. , Sara Gilbert  Drew Barrymore  Tom Skerritt  Cheryl Ladd , https://m.media-amazon.com/images/M/MV5BZTgzNTZhODktZjE4Ny00ZDIwLWE3NjEtOTVmMWM0Nzc5YzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Critters 3 , movie , USA , Kristine Peterson , English , The tiny fur ball aliens that will eat anything or anyone set their sights on a Los Angeles apartment tower. , N/A , Comedy  Horror  Sci-Fi  Thriller , 4.4 , N/A , PG-13 , N/A , John Calvin  Aimee Brooks  Christian Cousins  Joseph Cousins , https://m.media-amazon.com/images/M/MV5BZjg3MGU1MjctYTRjZS00YjRmLTg3OGYtNGFkM2E0YjNjMTZlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Parenthood , series , USA , N/A , English , Based on the 1989 Ron Howard film of the same name. , N/A , Comedy  Drama , 5.5 , 20 Aug 1990 , N/A , 3 nominations. , Ed Begley Jr.  Jayne Atkinson  Max Elliott Slade  Thora Birch , https://m.media-amazon.com/images/M/MV5BMjVhZjVmNzYtMDIzYi00N2YyLWIzNGQtMDdhNGMxMmVhNmE4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
Roseanne , series , USA , N/A , English , A revival of the popular 1990s sitcom "Roseanne"  which centered on the everyday life of an American working-class family. , N/A , Comedy  Drama , 7.0 , 18 Oct 1988 , TV-PG , Won 3 Golden Globes. Another 46 wins & 113 nominations. , Roseanne Barr  John Goodman  Laurie Metcalf  Michael Fishman , https://m.media-amazon.com/images/M/MV5BZjZlMjA1NTgtOTRjZS00NzYwLWFjOGMtMjAyZWQyZWY5YzJmXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_SX300.jpg
Street Safe  Street Smart , movie , USA , Gino Ricotta , English , N/A , N/A , Short  Family , N/A , 01 Sep 1990 , N/A , N/A , Leonardo DiCaprio , https://m.media-amazon.com/images/M/MV5BODkxYWM2ODctNDcyNy00MDBmLWI5YjktMmQ4ZTZkNmJmYTkwXkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_SX300.jpg
Santa Barbara , series , USA , N/A , English , In Santa Barbara  California  the fascinating and tumultuous life of the rich Capwells around who gravitate other families  from the Lockridges  the rival family  to the Andrades or the ... , N/A , Drama  Romance , 5.7 , 30 Jul 1984 , TV-PG , 47 wins & 114 nominations. , A Martinez  Marcy Walker  Nancy Lee Grahn  Jed Allan , https://m.media-amazon.com/images/M/MV5BMWIxNGExMDEtOGU1My00YjVkLTkzN2ItYmIzYWNiYjNhMDAzXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
The Outsiders , series , USA , N/A , English , Francis Ford Coppola and S.E. Hinton's 13-episode follow-up to the 1983 movie  which builds on each character from the film immensely. Series finale (entitled "Union Blues") reaches an ... , N/A , Drama , 7.2 , 25 Mar 1990 , N/A , N/A , Jay R. Ferguson  Rodney Harvey  Boyd Kestner  Harold Pruett , https://m.media-amazon.com/images/M/MV5BYzAwZDMyZDUtYmRiMy00YjUwLTk0YTItYmI5NzZlNDA1ZjA2XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
The New Lassie , series , USA , N/A , English , The further adventures of the heroic Collie dog. , N/A , Adventure  Family , 6.6 , 09 Sep 1989 , N/A , 1 win & 11 nominations. , Wendy Cox  Will Estes  Christopher Stone  Dee Wallace , https://m.media-amazon.com/images/M/MV5BYWY3MjI4MGItZGUxMS00ODg5LWFmODItMmIwNDMyNjQyNjQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjcyMDU4NA@@._V1_SX300.jpg
Romper Room and Friends , series , USA , N/A , English , Children's program that was often franchised rather than syndicated (meaning  local television stations could use their own hostesses in lieu of national hosts if they chose). A typical ... , N/A , Family , 7.5 , 10 Feb 1953 , N/A , N/A , Sally Claster Gelbard  Bruce Edward Hall  Molly McCloskey  Nancy Claster , N/A
Captain Planet , movie , USA , N/A , N/A , A story centered around an environmentally friendly superhero. , N/A , Adventure  Family , N/A , N/A , N/A , N/A , N/A , N/A
The Black Hand , movie , USA , N/A , English , Police officer  Joe Petrosino  seeks justice against a ruthless Italian-American gang in New York. A feature adaptation of Stephan Talty's book 'The Black Hand'. , N/A , Drama , N/A , N/A , N/A , N/A , Leonardo DiCaprio , https://m.media-amazon.com/images/M/MV5BZTYyZDgyM2MtYTE4Ni00ODcwLTkwMWYtMTJjMzIwYzk4NTA4XkEyXkFqcGdeQXVyNTU4NjE1MTc@._V1_SX300.jpg
Grant , series , USA , N/A , N/A , The documentary-series examines Grant's life story using his perspective and experiences to explore a turbulent time in history: the Civil War and Reconstruction. , N/A , N/A , N/A , N/A , N/A , N/A , Arthur Falko , N/A
The Right Stuff , series , USA , N/A , English , U.S. fighter pilots are recruited to test experimental aircraft and rockets to become first Mercury astronauts. TV adaptation of Tom Wolfe's book  'The Right Stuff'. , N/A , Drama , N/A , N/A , N/A , N/A , Kevin Kedgley  Patrick J. Adams  Patrick Fischler  Eric Ladin , https://m.media-amazon.com/images/M/MV5BNGRjN2I4YjAtMWUwNC00NWM4LTg0ZTgtNGI2ZDcwZDQ3YzYwXkEyXkFqcGdeQXVyODk1MTI2MDk@._V1_SX300.jpg
Richard Jewell , movie , USA , Clint Eastwood , English , American security guard Richard Jewell saves thousands of lives from an exploding bomb at the 1996 Olympics  but is vilified by journalists and the press who falsely reported that he was a terrorist. , 68 , Biography  Crime  Drama , 7.5 , 13 Dec 2019 , R , Nominated for 1 Oscar. Another 5 wins & 11 nominations. , Paul Walter Hauser  Sam Rockwell  Brandon Stanley  Ryan Boz , https://m.media-amazon.com/images/M/MV5BOTFlODg1MTEtZTJhOC00OTY1LWE0YzctZjRlODdkYWY5ZDM4XkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_SX300.jpg
And We Go Green , movie , USA , Fisher Stevens  Malcolm Venville , English , Professional drivers on the international Formula E circuit - like Formula One  but with eco-friendly electric cars - race for victory across 10 cities in this white-knuckle documentary. , N/A , Documentary  Sport , 7.3 , 23 May 2019 , N/A , N/A , Sam Bird  Leonardo DiCaprio  Nelson Piquet Jr.  Jean-�ric Vergne , https://m.media-amazon.com/images/M/MV5BNmRhNGViZDktNWIyNy00YTRlLTg1MmYtYWRkYjczNjhmZmUxXkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_SX300.jpg
Ice on Fire , movie , USA  Costa Rica  Croatia  France  Germany  Iceland  Norway  Switzerland  UK , Leila Conners , English , Can we reverse climate change? Ice on Fire explores the many ways we reduce carbon inputs to the atmosphere and  more important  how to "draw" carbon down  bringing CO2 out of the ... , N/A , Documentary , 7.4 , 23 Jun 2019 , TV-PG , 1 nomination. , Raymond Baltar  Leonardo DiCaprio  Ottmar Edenhofer  Linwood Gill , https://m.media-amazon.com/images/M/MV5BMWIwYzQ0NjMtMjA2Ni00MDNkLWFkYWMtNDQ3OTg1ZDg5ZDE0XkEyXkFqcGdeQXVyMTQ5ODIxNTc@._V1_SX300.jpg
Sea of Shadows , movie , Austria , Richard Ladkani  Sean Bogle(co-director)  Matthew Podolsky(co-director) , English  Spanish , The vaquita  the world's smallest whale  is near extinction as its habitat is destroyed by Mexican cartels and Chinese mafia  who harvest the swim bladder of the totoaba fish  the "cocaine ... , 72 , Documentary  Crime  History , 7.5 , 12 Jul 2019 , PG-13 , 4 wins & 15 nominations. , Romel Eduardo Ledezma Abaroa  Rafael Pacchiano Alam�n  Hector Capetillo  Andrea Crosta , https://m.media-amazon.com/images/M/MV5BMjM2MWM1OGQtNTM1Yy00ZTk3LThhZDUtOTNjYWFhZDlhOGNmXkEyXkFqcGdeQXVyNjAzNDk1OTQ@._V1_SX300.jpg
Struggle: The Life and Lost Art of Szukalski , movie , Poland  USA , Irek Dobrowolski , English , This documentary chronicles the life of Polish-American artist Stanislav Szukalski (1893-1987) from his early years in Chicago  to his time in Poland and Los Angeles  and his artistic and political contributions to the world. , N/A , Documentary , 8.0 , 21 Dec 2018 , TV-MA , N/A , Stanislav Szukalski  Glenn Bray  Robert Williams  Suzanne Williams , https://m.media-amazon.com/images/M/MV5BMTU0NjUxMDU2Ml5BMl5BanBnXkFtZTgwMDE2NTIwNzM@._V1_SX300.jpg
Robin Hood , movie , USA , Otto Bathurst , English  Arabic , A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown. , 32 , Action  Adventure  Thriller , 5.3 , 21 Nov 2018 , PG-13 , 4 nominations. , Taron Egerton  Jamie Foxx  Ben Mendelsohn  Eve Hewson , https://m.media-amazon.com/images/M/MV5BOGQzZDM0NGUtZGE1NS00ZjQwLTk0N2EtMWI0NTgxYTkwYWQ4XkEyXkFqcGdeQXVyNDMzMzI5MjM@._V1_SX300.jpg
Jonestown: Terror in the Jungle , series , USA , N/A , English , Docuseries looking back on the Jonestown Massacre on the 40th anniversary. , N/A , Documentary  Biography  Crime  Drama , 8.1 , 17 Nov 2018 , N/A , 1 nomination. , Vernon Gosney  Leslie Wagner-Wilson  Tim Carter  Jim Jones Jr. , https://m.media-amazon.com/images/M/MV5BMjY2Nzk2ODM4N15BMl5BanBnXkFtZTgwMDc0OTI4NjM@._V1_SX300.jpg
Delirium , movie , USA , Dennis Iliadis , English , A man recently released from a mental institute inherits a mansion after his wealthy parents die. After a series of disturbing events  he comes to believe it is haunted. , N/A , Horror  Thriller , 5.7 , 22 May 2018 , R , N/A , Topher Grace  Genesis Rodriguez  Patricia Clarkson  Callan Mulvey , https://m.media-amazon.com/images/M/MV5BNjVlMzZlYTQtNDY3NC00ZWU5LWFlOGMtODEyMDFiYTk4N2YxXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg
